business_type,city,city_tier,store_size_sqft,years_of_operation,month,year,is_festival_season,avg_daily_footfall,conversion_rate,avg_transaction_value,customer_rating,marketing_spend,discount_percentage,inventory_level,supplier_cost,logistics_cost,rent_cost,employee_count,avg_employee_salary,electricity_cost,monthly_sales,monthly_profit
Pharmacy,Hyderabad,1,4345,4,2,2019,0,542,0.47392696735299483,4328,3.8258689486276776,107232,17.15361162763164,870,48589,18392,70768,10,16068,29457,33394687.973083165,33066801.973083165
Food,Chennai,3,3732,8,5,2021,0,295,0.3058183944357544,663,4.269027627447757,124202,29.706725039919384,1803,37986,49529,85345,35,46849,7282,1844085.5202715108,24228.520271510817
Service,Hyderabad,2,2874,13,1,2023,1,933,0.09510118358467975,774,4.711960301027952,105282,37.04701207542673,2468,152325,31563,123455,12,29975,24908,2152409.567486234,1460458.567486234
Pharmacy,Kolkata,3,1919,4,12,2023,1,222,0.3687410639663444,2019,4.17739408217831,100198,3.7019533414421524,2248,27792,26340,145396,32,22270,14037,5048370.666266008,4122165.6662660083
Retail,Hyderabad,1,3777,3,9,2021,0,461,0.4215634715084464,3888,3.4561402355894435,26332,12.621099321679235,1925,25845,29336,78365,24,29575,14847,22678439.089019533,21820246.089019533
Retail,Delhi,1,2154,15,1,2022,0,487,0.4268151211781523,3758,3.0764778052832193,78251,32.93978721428423,4194,20338,49263,108315,37,32731,17434,23465320.002911318,22058923.002911318
Electronics,Bangalore,1,370,18,8,2021,0,89,0.40448746907358085,3569,3.470860299199128,94927,4.742261792969189,4950,58011,23500,134319,6,24641,9426,3892424.924920039,3519322.924920039
Electronics,Chennai,1,607,10,11,2022,1,834,0.5629282235051691,2127,2.7300351196702137,64593,30.936601166547927,288,139715,55376,33531,31,43821,23439,30033492.45151528,28422980.45151528
Food,Bangalore,2,3987,13,12,2021,1,585,0.2310595180678498,4629,2.8201828763198393,14526,39.10938587614687,400,182256,49979,106521,15,17106,8161,18826843.035338145,18223336.035338145
Pharmacy,Mumbai,1,3538,12,1,2019,0,599,0.4673958251460508,2146,3.93953297256298,105423,12.911898114674173,4805,169700,53843,90472,31,41214,26850,18066644.190518748,16448145.190518748
Pharmacy,Kolkata,3,3993,17,4,2018,1,629,0.4026489628527856,2521,3.3344638255265124,66540,39.50390580082855,1343,186485,21733,89286,44,14563,7746,19231138.527089834,18285116.527089834
Electronics,Hyderabad,3,4091,16,11,2023,0,945,0.3401432689487854,2048,3.7155185999751685,29975,26.35462509886228,1158,95152,24578,17699,3,23381,29535,19760980.309781637,19523873.309781637
Pharmacy,Delhi,2,3972,23,12,2018,0,376,0.5319807002281136,4126,3.3480944086345876,96729,19.03757189764866,1605,44905,36189,115173,49,41515,27871,24797754.323912703,22539381.323912703
Pharmacy,Hyderabad,1,2885,10,2,2022,0,619,0.4889597710770959,4093,3.749729182817735,179277,10.674834872789782,1416,114307,17026,66135,33,17185,22347,37236081.00985453,36449161.00985453
Retail,Delhi,3,4699,7,3,2019,1,835,0.3184149475468961,3936,4.051211379199861,173679,30.362481876641695,2147,107526,21246,137593,22,22966,15862,31514166.500291806,30726687.500291806
Electronics,Mumbai,3,1375,11,7,2019,1,62,0.30940540951129947,2339,4.687147309097561,141644,13.99538343123345,2964,199631,42711,106589,18,12781,23066,1452738.210295289,850683.210295289
Service,Chennai,1,573,2,9,2024,0,750,0.05297123074098742,3242,2.580814432073114,81700,19.748065258665363,3763,36241,9350,124786,32,9121,24455,3896666.4264013274,3409962.4264013274
Electronics,Kolkata,1,2998,18,12,2023,0,914,0.43075617949511524,4447,3.5017334954635855,108075,8.575868367185251,4665,160055,58737,41263,33,44395,11996,52568234.2624892,50831148.2624892
Service,Delhi,1,2598,14,2,2019,0,876,0.4586227581305584,1368,2.6338974534174646,141157,39.91405252590921,490,115419,39050,23057,16,42377,20905,16544427.922462031,15667964.922462031
Retail,Hyderabad,1,1549,23,11,2021,0,194,0.15109385831263256,2298,4.9968537556320864,177359,22.50077793882893,2202,174243,44103,16678,13,9696,16509,2091727.2548621404,1714146.2548621404
Food,Bangalore,1,1254,22,9,2019,0,156,0.4590228626220587,4213,4.663961178346176,55668,17.844766415262583,4216,52394,41983,100541,42,43423,2822,9072747.538661111,7051241.538661111
Pharmacy,Mumbai,3,1683,2,2,2020,0,771,0.38997631482094686,4759,4.555913936578293,71019,12.702754716840762,644,120588,57099,118621,5,10583,22174,42955311.73804666,42583914.73804666
Retail,Hyderabad,1,2721,15,8,2018,0,851,0.07833173893687526,2712,3.2687451688735125,83096,22.959688579613847,2318,73713,8575,100404,36,44095,12256,5456721.20819845,3674353.2081984496
Pharmacy,Delhi,1,3828,18,7,2023,1,391,0.2049339974607891,4211,4.920883673306419,167676,30.300636575925573,4565,139653,41603,109464,39,18940,10446,10239791.352595601,9199965.352595601
Food,Hyderabad,3,681,24,11,2023,0,188,0.30363383695591695,4330,3.605930037105081,178298,1.0979351463452858,3271,102186,8897,79554,9,35316,12837,7486421.859067839,6965103.859067839
Food,Chennai,1,4441,1,6,2020,0,509,0.291031453817663,1758,4.818891370416322,121318,1.0661812886323663,3309,101800,10971,97720,48,20752,7189,7861167.627040866,6647391.627040866
Retail,Kolkata,3,1452,21,10,2019,1,64,0.3515022504515843,3829,3.099053393224316,17882,19.535501990774314,365,198639,42434,104373,45,28119,28540,2641284.864599903,1001943.8645999031
Food,Delhi,2,2739,13,4,2021,1,158,0.16463942063895937,979,3.981268051663459,163002,26.225375443475322,1155,21656,26041,128334,45,37254,2578,879203.4458982655,-975835.5541017345
Service,Chennai,2,1201,11,2,2021,1,241,0.3007678599434491,1403,4.683361067311154,184599,26.3885604553335,1244,108148,45419,94947,35,29848,19325,3174735.5332297655,1862216.5332297655
Food,Chennai,2,1661,2,1,2020,1,310,0.4059586639309436,2515,3.4663933311458175,199752,34.17814414727822,1369,170304,48947,99494,10,44225,27859,9625070.970012806,8836216.970012806
Pharmacy,Mumbai,2,3636,12,3,2021,0,768,0.466661476588746,3498,3.215467233024394,156640,1.409117227831329,921,139500,36600,13600,10,11076,10167,37672733.71127527,37362106.71127527
Pharmacy,Hyderabad,1,2970,18,6,2022,0,398,0.2887041653711992,3226,3.061396869979705,142108,35.29419071882925,4162,50572,26148,142779,39,19059,27696,11177277.271600613,10186781.271600613
Pharmacy,Chennai,3,3933,1,4,2019,0,767,0.25141728551457826,450,2.640935077422685,60043,12.030292120708236,4911,66911,16602,118188,10,20190,3382,2627317.4828607007,2220334.4828607007
Pharmacy,Mumbai,1,3415,14,12,2019,0,255,0.26673889004422635,3585,2.527323205909005,38866,36.9619618726228,1315,20483,15988,108733,25,30335,5407,7330927.14418542,6421941.14418542
Service,Bangalore,1,4870,10,2,2018,0,647,0.14572992703364726,3596,4.30733649204452,159466,7.059821887717259,578,191439,35729,35999,44,42445,9515,10235496.309868243,8095234.309868243
Electronics,Hyderabad,2,4191,3,7,2024,1,275,0.3176237759096934,4084,3.191614152570822,45998,16.11139763443404,4524,39426,45682,130470,38,46615,6388,10770097.081725297,8776761.081725297
Retail,Mumbai,3,2434,12,10,2021,1,718,0.5018557930621114,1695,4.141083492823346,89923,25.421119449333254,3093,51070,37019,14322,17,27878,26642,18408874.7614356,17805895.7614356
Pharmacy,Delhi,2,652,13,5,2022,0,358,0.20656360876679442,4200,4.97330386078402,69273,6.3451627318804915,3707,179319,21941,134632,39,14411,4645,9345380.464252561,8442814.464252561
Food,Mumbai,2,2380,22,5,2018,1,629,0.16980079607405707,4089,2.9692971340581815,112517,11.535096678748168,3700,20539,20640,111201,26,44991,24007,13196739.438620482,11850586.438620482
Pharmacy,Kolkata,3,3632,3,10,2021,0,670,0.22349796279038509,1314,4.654610385206075,191308,30.146278514289165,588,159622,19673,22042,30,26775,6561,5979417.294441977,4968269.294441977
Food,Bangalore,2,1487,10,2,2019,1,603,0.5803137719631384,809,4.235449203764359,131551,36.78544494465429,4401,82111,51639,55060,8,42739,10728,8595402.193063857,8053952.193063857
Food,Mumbai,3,2852,1,6,2021,1,478,0.2195974909826911,2911,4.215829404278276,186632,28.530716237773643,4126,175635,23129,130521,39,15965,8860,9291473.368233802,8330693.368233802
Pharmacy,Bangalore,3,2888,9,9,2018,1,883,0.3678949284312407,1298,3.8882035229930674,127635,16.73847016466684,853,112472,58590,77493,20,46073,15161,12750760.57707835,11565584.57707835
Service,Hyderabad,3,2042,24,5,2019,1,633,0.11561334382507372,2802,2.5739137618758936,112540,35.8348869436997,1410,65809,38344,137652,4,9134,4210,6246799.712665297,5964248.712665297
Food,Mumbai,3,2636,17,8,2020,1,761,0.40363023201241277,1486,4.9395914088616815,10522,1.2936558149668764,3969,45941,9603,66807,34,42373,11448,13747517.800509268,12173036.800509268
Food,Chennai,2,4353,4,3,2019,0,160,0.493513880931272,3494,4.666391166481333,143148,1.7001433563127843,2169,171598,7815,138111,14,26188,2761,8334079.199874549,7647162.199874549
Pharmacy,Chennai,1,4817,19,12,2020,1,366,0.45085121672233436,3562,2.7105731052569233,24156,27.35193752189112,4659,186583,25026,67662,37,49030,7240,17692796.132935204,15592175.132935204
Food,Hyderabad,1,3078,21,4,2023,1,495,0.35452391343679424,2554,4.3244698843737375,11954,32.24982656205489,4186,90876,38317,100317,44,22680,13345,13500774.612525951,12259999.612525951
Food,Delhi,2,520,21,11,2023,1,597,0.32824135484291,3723,4.778268742690252,47348,1.8516093381887533,1290,162696,34855,98998,6,45205,25170,21955721.522675555,21362772.522675555
Pharmacy,Chennai,2,1936,18,6,2024,0,867,0.1481213034664552,4993,3.8918041935568715,65153,34.62911202587544,1573,27814,7014,41309,15,13689,22071,19262268.270090356,18958725.270090356
Pharmacy,Kolkata,2,3203,9,7,2021,0,355,0.4803834703979558,1734,3.2761764617123394,168648,31.02293094687115,1208,115694,59290,43396,28,34398,25586,8938748.78618609,7731638.78618609
Retail,Chennai,3,3779,21,1,2022,0,491,0.3984838886614527,4996,3.1152898010273122,70272,21.297763923600762,4289,153673,55475,119931,21,44279,13342,29352968.52919606,28080688.52919606
Service,Kolkata,2,726,11,4,2022,1,219,0.2640192489625598,3042,4.538984970036753,182486,31.50892253860516,4065,41546,42606,132651,36,33985,6076,5399667.268610783,3953328.268610783
Service,Mumbai,2,1968,8,12,2020,0,480,0.5040411223616096,2285,3.082864543150043,170728,38.89999258562643,4017,25355,47167,25450,5,31481,16426,16653260.290186401,16381457.290186401
Food,Hyderabad,1,3181,7,5,2022,1,359,0.08714543221738566,3515,4.460414003426842,67070,6.330214630354898,2790,68667,54260,38558,46,29824,24602,3375853.412009071,1817862.412009071
Service,Mumbai,2,1521,12,8,2020,0,982,0.5091000897762573,2554,2.8571973858228548,40083,17.33646505163597,4204,29385,29611,50467,10,33475,17018,38321151.59884102,37859920.59884102
Food,Kolkata,2,4702,8,9,2020,0,444,0.19053996338578777,2139,4.684727771633783,101829,38.207463626205794,4343,163641,49275,110595,20,9684,24778,5469497.156006904,4927528.156006904
Retail,Delhi,3,2962,1,9,2024,0,118,0.10287843281272716,641,4.210921033431679,99451,22.405579949718604,140,189900,59976,50724,40,28210,7460,273225.96703267173,-1163234.0329673283
Pharmacy,Chennai,1,4425,23,5,2023,1,381,0.4015513616622398,829,3.407363086315306,22076,8.036006772619452,750,38622,55892,120795,33,31261,17329,3863718.2808897034,2599467.2808897034
Pharmacy,Kolkata,3,1804,1,11,2018,1,562,0.3648255309872038,2829,4.958749935673721,18588,16.756020063017484,1123,198834,25084,53808,31,27528,28551,17458496.6619648,16298851.6619648
Pharmacy,Chennai,1,1128,19,5,2018,0,602,0.5874663065990136,2569,3.1251668858033055,138205,31.625176846275544,694,33312,13247,35795,20,47783,26537,27311451.006250754,26246900.006250754
Service,Bangalore,2,2599,22,8,2020,1,428,0.4312760749671658,3211,4.5213811460634155,154570,13.420899979507613,3172,192472,58699,60029,4,39228,10768,17893012.801079273,17414132.801079273
Retail,Delhi,2,1235,6,6,2020,0,154,0.5210889558898997,1018,3.954406851585974,186615,3.3916584121215676,3837,68538,31509,125675,43,26245,20411,2525410.733783141,1150742.7337831408
Service,Mumbai,3,1346,6,11,2023,1,287,0.19807816005546836,323,4.04314118044259,129407,4.398436397806362,3401,136792,6730,144387,14,27867,2251,652624.1054590592,-27673.89454094076
Service,Kolkata,1,1221,14,7,2022,0,833,0.3689437842243873,4731,3.943887816870504,140650,32.501856254828176,2785,195494,39757,44650,36,24992,20802,43675631.34870775,42475216.34870775
Retail,Bangalore,3,755,4,6,2019,1,464,0.3747514777911816,4413,3.4578530939093666,14739,13.40511872457894,770,59897,55669,74083,26,29457,19421,23076489.139175385,22101537.139175385
Retail,Hyderabad,3,792,1,3,2021,1,786,0.5025155547928396,2443,3.7102580181486307,143917,7.498358650308954,4706,188293,46302,90339,8,24789,19094,29055447.698463034,28513107.698463034
Retail,Kolkata,1,3840,1,2,2021,0,263,0.08773325928760731,1858,4.797842484373376,165338,6.648886042510438,1639,70335,32536,90450,31,11058,11137,1352271.4425177937,805015.4425177937
Retail,Hyderabad,1,862,24,10,2020,1,605,0.48100329865227764,1184,4.909728873092429,142885,20.165565769852655,4290,175804,39301,57716,5,42573,16561,10443722.486717986,9941475.486717986
Pharmacy,Kolkata,3,3266,18,7,2024,1,324,0.29737705054113606,2844,3.3076011896198647,156327,23.609516542311173,115,143019,39255,84033,28,26269,6084,8333126.8245029915,7325203.8245029915
Electronics,Hyderabad,3,821,20,5,2021,0,238,0.22919297488731893,2431,3.7264626105541065,44834,1.3106962718496273,2817,172638,40387,66818,5,29237,9425,3996113.990730656,3560660.990730656
Electronics,Kolkata,3,2638,24,8,2018,0,155,0.08235406120315927,2463,3.8674017287558975,96036,17.756604143731792,2498,195434,5424,65042,21,48324,11060,981611.3452567231,-310152.6547432769
Retail,Kolkata,1,4272,14,9,2020,1,420,0.5606724770975553,1063,4.669441902734915,10095,22.096340839645432,2322,73607,58092,58354,2,28216,24357,7563573.023749237,7292731.023749237
Electronics,Mumbai,2,2869,8,10,2022,1,308,0.5288566882056676,2406,4.466871533667608,184062,14.304534708026173,4916,197921,46205,115955,2,25308,2155,11880870.532443006,11468018.532443006
Electronics,Mumbai,3,1466,13,5,2023,1,279,0.22953317654549293,2331,2.945548487568347,159904,22.541876312999154,2077,186220,56960,82300,15,46046,23902,4592261.7549955435,3552189.7549955435
Retail,Mumbai,3,4996,21,2,2020,0,574,0.28548070869585246,4246,3.624169839406898,199455,38.38538380535938,4241,25187,18332,11738,16,19394,16911,20953023.75469099,20570551.75469099
Electronics,Delhi,2,405,23,11,2022,0,777,0.5440596413929568,870,4.116601066859221,119106,17.04340985680741,941,167866,25778,105059,33,21832,11370,11081008.709556745,10050479.709556745
Service,Hyderabad,3,4199,5,4,2019,0,34,0.12365839203693278,2072,2.6423880020668458,46893,2.269725875833184,3380,58479,39779,65930,46,15925,27676,280101.7920665352,-644312.2079334648
Food,Mumbai,3,2808,18,10,2020,1,203,0.3661451716531261,1137,3.593472684985632,89348,10.527266437305514,1689,83185,6123,33602,16,19461,5058,2621049.196432891,2181705.196432891
Food,Chennai,3,4943,9,3,2024,0,37,0.2527356408856213,4897,2.54174432143469,73897,26.475370844122992,774,91322,59936,112121,36,18050,12851,1403346.3410927453,477316.3410927453
Retail,Mumbai,2,2370,21,3,2024,1,251,0.2811862204637153,4952,3.750437992646901,68757,14.569721675957755,4281,106579,44255,33503,33,14961,29084,10562532.052934477,9855398.052934477
Pharmacy,Kolkata,2,3284,23,9,2020,1,464,0.37451948082355524,1562,2.5310838562179208,134664,38.108504495069056,3820,134593,55108,60036,35,17692,22696,8247057.652325794,7355404.652325794
Retail,Kolkata,3,3134,8,5,2023,0,673,0.34495581643428935,1745,4.137768723381474,173302,11.63791729856209,3864,31982,37034,78614,12,26536,28213,12222648.894495487,11728373.894495487
Pharmacy,Chennai,3,1122,14,10,2021,0,643,0.5777141048475016,3131,2.538751196943939,62950,18.219031518350995,4603,21722,32701,113445,37,48445,10711,34917373.01333351,32946329.013333507
Food,Bangalore,2,1995,23,8,2018,0,474,0.5652170702759352,822,4.456863143247424,156278,23.399381116629947,911,150186,28025,90611,2,28103,22483,6669243.099724162,6321732.099724162
Retail,Kolkata,2,4215,21,3,2019,0,721,0.5069812655395131,2508,3.6701908041461504,72517,23.14224520686864,4050,142388,52446,39746,40,48353,10281,27531746.772238128,25352765.772238128
Service,Kolkata,2,3072,10,10,2023,0,808,0.3350268267813065,1525,3.9460836299872737,125821,2.5626122684928543,490,134148,36114,86015,39,48420,11279,12434930.078797776,10278994.078797776
Electronics,Mumbai,3,601,17,9,2018,1,629,0.5484816605294659,2940,3.6570966021264715,41959,36.81699543637333,1714,180158,35617,54019,41,17013,25526,30495339.466521606,29502486.466521606
Pharmacy,Mumbai,3,2948,18,3,2020,0,520,0.12051831424871955,3143,2.862869852986001,122818,26.768298072270053,3393,195294,56160,132961,30,14584,5482,5958236.562266119,5130819.562266119
Electronics,Kolkata,3,4891,22,12,2022,0,870,0.5293269184736223,1930,3.4121218536799636,42056,10.606169871803424,2981,105376,29556,105298,31,27719,28299,26680607.264271777,25552789.264271777
Electronics,Chennai,3,1976,14,4,2018,0,774,0.2371127906708263,2983,4.95875627787075,86587,21.241857618796658,1107,35563,15500,52638,10,49729,28810,16458313.895140361,15828512.895140361
Retail,Kolkata,3,2365,2,6,2022,1,92,0.41542184218303657,613,4.548269412227807,18895,11.448894042659198,2540,136220,37272,143587,29,38043,15582,760401.9063526358,-675506.0936473642
Electronics,Mumbai,3,410,21,5,2023,0,647,0.30007663422381314,2890,4.113551123804186,113869,11.070333221990136,1674,156395,35690,99189,6,23079,9897,16878316.389121376,16438671.389121376
Service,Hyderabad,1,3237,14,11,2019,0,187,0.38641380413107546,4033,4.998644567804306,197068,31.736192586058138,3570,81994,7960,70272,20,26092,2413,8821489.752260119,8137010.752260119
Electronics,Mumbai,1,4341,7,9,2023,1,428,0.456449339777924,1572,2.7271400871781886,176427,31.991348399416992,2051,31743,56911,56923,5,12403,26931,9333763.369760713,9099240.369760713
Retail,Mumbai,2,3921,6,5,2018,0,153,0.5601370842367762,2560,4.557577229361396,142934,34.52167462080411,3775,45034,55239,27257,30,14092,17423,6639008.394615815,6071295.394615815
Service,Chennai,3,1717,6,12,2022,1,271,0.38767267250499465,1812,2.823973234998949,158249,34.71257093942743,2794,128265,29937,87484,6,27750,20298,5824322.835367679,5391838.835367679
Food,Kolkata,2,3484,22,12,2020,1,663,0.30292880188140975,595,3.5765313394702964,29553,6.963581523268134,1219,159638,31206,103571,35,13987,17270,3646847.2523056376,2845617.2523056376
Electronics,Mumbai,2,4439,21,5,2022,1,533,0.3322855372677034,3566,3.8417596231757,88267,28.95388300459867,820,106580,42481,64609,16,34070,23780,19032341.11208712,18249771.11208712
Retail,Bangalore,2,3320,19,11,2020,0,938,0.20869441285957963,1718,2.7569823526922583,46028,39.24304031672317,3874,54520,13506,130477,46,13432,14252,10107642.416378204,9277015.416378204
Food,Hyderabad,2,1984,22,1,2023,0,957,0.5585320116515818,645,3.162925251996576,39139,20.838566878479178,4193,72829,27580,137642,21,21611,2532,10358523.465163408,9664109.465163408
Food,Mumbai,2,471,12,6,2022,1,756,0.5153720145296428,1132,4.742936040769096,11269,38.13752106168201,746,32768,39146,80255,40,17030,21341,13286045.01175056,12431335.01175056
Pharmacy,Delhi,3,1816,11,7,2021,1,184,0.2845039209906552,488,2.6379321294721083,190542,29.85871525366894,585,53748,24687,130283,41,22073,7362,892602.0822077874,-228470.91779221257
Service,Bangalore,3,3455,24,7,2018,0,36,0.5125569145542183,2907,4.363548775131791,183350,33.42691982105424,4784,82320,25776,92578,3,35465,11500,1682543.1866578416,1363974.1866578416
Electronics,Mumbai,1,432,5,2,2020,1,403,0.17417664087462026,3259,4.437281903862788,180003,12.995554374394324,3606,119697,6531,89552,25,31454,2599,6984789.021859584,5980060.021859584
Retail,Delhi,2,3006,9,9,2019,0,381,0.10286974380860557,3559,3.408468265689602,180264,13.331526161977084,2615,78864,41269,78671,41,20891,2518,4256781.970195475,3198928.970195475
Pharmacy,Chennai,3,3032,10,8,2023,1,406,0.2769548034771487,2148,4.940453979136825,70308,9.294839120714347,4483,37514,49996,89595,21,32274,24439,7323992.01964339,6444694.01964339
Service,Delhi,3,459,2,2,2021,1,253,0.3666454302927288,1829,2.8922853458656848,189911,14.941154722074511,3427,54630,5504,126107,29,39423,19063,5215776.594320993,3867205.594320993
Pharmacy,Kolkata,2,4030,12,8,2018,1,776,0.2882834044112157,533,2.8438019070883835,172478,20.164090339011082,1021,55270,14499,109700,35,24883,3695,3696080.8699514233,2642011.8699514233
Service,Hyderabad,3,949,15,11,2019,1,30,0.41838305945268434,848,4.760115560927643,119192,20.24782906634608,1032,50923,9632,55130,18,13491,4112,416986.7509742887,54351.750974288676
Service,Kolkata,1,1951,7,8,2021,1,37,0.23217164398540496,968,4.736626250780965,32473,1.4103513017064895,2568,79515,35849,140425,24,27752,29731,312452.98802943795,-639115.011970562
Electronics,Chennai,1,1560,7,10,2024,1,257,0.14034641910913517,3852,4.239050345082928,25817,21.820115285507796,3427,59590,57083,69759,26,17980,26790,4228463.873408677,3547761.873408677
Service,Chennai,2,759,6,12,2021,1,715,0.134848684102214,3718,3.5791586515354457,15472,11.027170093629666,1095,76456,44346,107172,25,33722,4377,10810519.690704081,9735118.690704081
Pharmacy,Chennai,3,2787,4,4,2022,0,324,0.3362283720732059,4573,2.829862651290912,48459,9.266300861278115,3094,64548,29893,140194,6,11202,10088,14964586.798170289,14652651.798170289
Service,Delhi,3,4879,10,1,2020,0,93,0.11123300039028691,2262,4.106489480240865,18166,12.779652518359072,2877,114591,59134,109789,24,20118,27478,709255.6408030929,-84568.35919690714
Electronics,Delhi,2,4731,6,1,2021,1,980,0.06545560557294132,2355,4.157376725781434,136089,24.716402932989677,3312,59146,15216,18342,35,10740,13071,4636385.363053737,4154710.363053737
Electronics,Chennai,3,2868,18,12,2023,1,684,0.12993756046246618,3128,4.055211026611042,185631,26.85527290037147,181,69543,7576,40381,43,29416,6811,8464497.420877714,7075298.420877714
Pharmacy,Delhi,3,953,3,4,2018,1,470,0.5868551732819259,3160,2.882404547275621,53618,3.048044354214019,508,199954,46032,85972,36,35165,25002,26219366.300749496,24596466.300749496
Food,Kolkata,2,1263,6,12,2018,0,934,0.39131359953979966,4738,3.389704355162544,170958,16.40707589075705,3006,108042,59125,44973,17,32968,20793,52018691.44604038,51225302.44604038
Food,Mumbai,3,571,18,8,2019,0,121,0.27680095178613195,1433,3.6647315990940017,169323,29.815892361346847,2239,148022,52081,74605,35,8554,19108,1507589.6229915835,914383.6229915835
Service,Bangalore,3,4578,12,12,2019,1,427,0.30079446044442437,4384,4.216610144087031,21324,13.701992987739121,3682,74552,55878,121520,24,38434,16729,16950857.73587685,15759762.73587685
Retail,Chennai,1,3375,18,5,2019,0,83,0.37038095619787226,1374,4.9627396686785605,96043,6.248163954476649,377,140670,52509,128856,30,17995,29019,1305586.7502015324,414682.7502015324
Service,Kolkata,1,1139,11,7,2024,0,63,0.4822653612747957,4947,4.43045039169227,137984,27.3453051808212,1009,116559,53927,44803,33,38142,24651,4564292.742807923,3065666.742807923
Pharmacy,Delhi,3,2743,8,1,2021,0,444,0.1828213404269809,1064,2.65933710223945,68456,17.34430269972179,3535,184886,48035,79617,40,32755,24542,2618414.190774578,971134.1907745781
Pharmacy,Bangalore,3,4028,19,12,2024,0,421,0.24204650735592054,1821,4.873710467161432,176686,37.84516837405677,1930,90121,54431,102686,29,42488,12267,5637557.693375509,4145900.693375509
Pharmacy,Chennai,3,4171,11,9,2018,1,573,0.21947451405600998,4515,4.248949406217081,127720,36.13997390546095,2581,80681,37867,66162,44,25549,15413,17135130.538251996,15810851.538251996
Pharmacy,Delhi,2,2940,2,12,2023,0,240,0.12112547105391348,1733,3.086825285344375,180590,23.069204765115447,809,177273,57423,53883,19,9590,18918,1583591.1776223108,1093884.1776223108
